x,y,t (days),logL
118.962,458.290,3.7997587,41.182243
122.273,422.016,4.8997850,41.101713
125.283,380.055,5.8998089,41.008557
142.741,366.600,11.699948,40.978687
143.945,372.621,12.099957,40.992054
147.256,383.175,13.199984,41.015484
149.664,395.112,14.000003,41.041985
152.975,385.204,15.100029,41.019988
161.703,408.827,17.999766,41.072433
168.024,419.037,20.099816,41.095099
182.773,446.101,24.999934,41.155183
185.783,458.521,25.999957,41.182756
186.385,458.740,26.199962,41.183242
200.832,496.439,30.999745,41.266936
203.842,496.778,31.999769,41.267688
216.484,531.452,36.199869,41.344666
246.282,593.577,46.099774,41.482587
261.031,616.037,50.999891,41.532449
261.332,616.255,51.099893,41.532933
264.041,618.461,51.999915,41.537830
267.653,626.275,53.199944,41.555178
278.790,652.937,56.900032,41.614369
287.819,664.730,59.899772,41.640550
294.140,660.001,61.999822,41.630051
303.471,670.212,65.099896,41.652720
327.852,687.471,73.200090,41.691036
347.416,703.984,79.699913,41.727696
350.426,706.996,80.699937,41.734382
353.436,711.661,81.699961,41.744739
362.466,717.581,84.700033,41.757882
365.476,719.627,85.700057,41.762424
368.486,717.465,86.700081,41.757624
375.448,713.591,89.013093,41.749024
380.525,717.605,90.699844,41.757935
398.585,690.339,96.699988,41.697403
413.635,645.070,101.70011,41.596904
422.664,613.611,104.69985,41.527063
425.674,601.953,105.69987,41.501182
431.694,572.971,107.69992,41.436840
440.724,537.429,110.69999,41.357935
443.734,526.544,111.70001,41.333770
452.764,505.888,114.70009,41.287913
455.774,502.184,115.70011,41.279690
458.783,493.209,116.69980,41.259765
470.823,488.570,120.69990,41.249466
491.893,479.427,127.70006,41.229168
494.903,473.415,128.70009,41.215821
497.913,479.093,129.70011,41.228427
500.923,466.684,130.70014,41.200878
506.942,462.488,132.69985,41.191563
515.972,453.842,135.69992,41.172368
525.002,456.984,138.70000,41.179344
528.012,457.194,139.70002,41.179810
543.062,439.377,144.70014,41.140255
552.091,437.927,147.69988,41.137036
555.101,433.541,148.69990,41.127299
564.131,426.014,151.69997,41.110589
570.151,424.629,153.70002,41.107514
576.171,431.192,155.70007,41.122084
579.181,421.814,156.70009,41.101264
585.201,418.202,158.70014,41.093246
594.230,409.257,161.69988,41.073387
612.290,402.996,167.70002,41.059488
621.320,396.985,170.70010,41.046143
642.389,382.172,177.69993,41.013257
696.568,354.711,195.70003,40.952293
744.727,324.090,211.70008,40.884312
771.816,321.572,220.69996,40.878722
786.866,307.374,225.70008,40.847202
880.174,250.837,256.70016,40.721687
